run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b,block-000,1,0,2026-08-22T16:18:38.631835+00:00,1787415518631852968,C,O2,tiny_04_arr,1663564,10000,166.3564,taskset -c 0,control
p1-v2-primary-3716b0b,block-000,2,0,2026-08-22T16:18:38.734714+00:00,1787415518734736542,H4,O1,tiny_04_arr,102800486,10000,10280.0486,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,3,0,2026-08-22T16:18:38.840577+00:00,1787415518840597009,H5,O1,tiny_04_arr,105800518,10000,10580.0518,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,4,1,2026-08-22T16:18:38.947821+00:00,1787415518947838733,H5,O1,tiny_04_arr,107181635,10000,10718.1635,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,5,1,2026-08-22T16:18:39.053847+00:00,1787415519053865262,H4,O1,tiny_04_arr,105965420,10000,10596.542,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,6,1,2026-08-22T16:18:39.055883+00:00,1787415519055907131,C,O2,tiny_04_arr,1963240,10000,196.324,taskset -c 0,control
p1-v2-primary-3716b0b,block-001,7,2,2026-08-22T16:18:39.162022+00:00,1787415519162045616,H4,O1,tiny_04_arr,106053676,10000,10605.3676,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,8,2,2026-08-22T16:18:39.272777+00:00,1787415519272798650,H5,O1,tiny_04_arr,110678845,10000,11067.8845,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,9,3,2026-08-22T16:18:39.377331+00:00,1787415519377349688,H5,O1,tiny_04_arr,104482799,10000,10448.2799,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,10,3,2026-08-22T16:18:39.483975+00:00,1787415519483995224,H4,O1,tiny_04_arr,106579707,10000,10657.9707,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,11,2,2026-08-22T16:18:39.486186+00:00,1787415519486206756,C,O2,tiny_04_arr,2144993,10000,214.4993,taskset -c 0,control
p1-v2-primary-3716b0b,block-001,12,3,2026-08-22T16:18:39.488259+00:00,1787415519488275495,C,O2,tiny_04_arr,2012759,10000,201.2759,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,13,4,2026-08-22T16:18:39.603804+00:00,1787415519603822227,H5,O1,tiny_04_arr,115482403,10000,11548.2403,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,14,5,2026-08-22T16:18:39.708354+00:00,1787415519708370548,H5,O1,tiny_04_arr,104493103,10000,10449.3103,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,15,4,2026-08-22T16:18:39.810526+00:00,1787415519810543439,H4,O1,tiny_04_arr,102115561,10000,10211.5561,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,16,4,2026-08-22T16:18:39.812835+00:00,1787415519812861088,C,O2,tiny_04_arr,2249720,10000,224.972,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,17,5,2026-08-22T16:18:39.814592+00:00,1787415519814608372,C,O2,tiny_04_arr,1688815,10000,168.8815,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,18,5,2026-08-22T16:18:39.918770+00:00,1787415519918789856,H4,O1,tiny_04_arr,104120175,10000,10412.0175,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,19,6,2026-08-22T16:18:40.028362+00:00,1787415520028383928,H5,O1,tiny_04_arr,109521483,10000,10952.1483,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,20,6,2026-08-22T16:18:40.132471+00:00,1787415520132490502,H4,O1,tiny_04_arr,104047285,10000,10404.7285,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,21,6,2026-08-22T16:18:40.135024+00:00,1787415520135045803,C,O2,tiny_04_arr,2439113,10000,243.9113,taskset -c 0,control
p1-v2-primary-3716b0b,block-003,22,7,2026-08-22T16:18:40.136880+00:00,1787415520136896035,C,O2,tiny_04_arr,1793763,10000,179.3763,taskset -c 0,control
p1-v2-primary-3716b0b,block-003,23,7,2026-08-22T16:18:40.242652+00:00,1787415520242671205,H4,O1,tiny_04_arr,105712020,10000,10571.202,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,24,7,2026-08-22T16:18:40.348590+00:00,1787415520348610132,H5,O1,tiny_04_arr,105875767,10000,10587.5767,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,25,8,2026-08-22T16:18:40.454100+00:00,1787415520454117902,H4,O1,tiny_04_arr,105444482,10000,10544.4482,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,26,8,2026-08-22T16:18:40.455841+00:00,1787415520455861705,C,O2,tiny_04_arr,1675624,10000,167.5624,taskset -c 0,control
p1-v2-primary-3716b0b,block-004,27,9,2026-08-22T16:18:40.458756+00:00,1787415520458859214,C,O2,tiny_04_arr,2840787,10000,284.0787,taskset -c 0,control
p1-v2-primary-3716b0b,block-004,28,9,2026-08-22T16:18:40.566655+00:00,1787415520566672924,H4,O1,tiny_04_arr,107750152,10000,10775.0152,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,29,8,2026-08-22T16:18:40.672525+00:00,1787415520672547188,H5,O1,tiny_04_arr,105802575,10000,10580.2575,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,30,9,2026-08-22T16:18:40.780787+00:00,1787415520780804589,H5,O1,tiny_04_arr,108197761,10000,10819.7761,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,31,10,2026-08-22T16:18:40.782811+00:00,1787415520782828908,C,O2,tiny_04_arr,1962811,10000,196.2811,taskset -c 0,control
p1-v2-primary-3716b0b,block-005,32,11,2026-08-22T16:18:40.785019+00:00,1787415520785040759,C,O2,tiny_04_arr,2144362,10000,214.4362,taskset -c 0,control
