run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b-retry,block-000,1,0,2026-08-22T16:21:26.908857+00:00,1787415686908875635,C,O2,tiny_04_arr,1549346,10000,154.9346,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-000,2,0,2026-08-22T16:21:27.004435+00:00,1787415687004503917,H4,O1,tiny_04_arr,95512054,10000,9551.2054,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-000,3,0,2026-08-22T16:21:27.101342+00:00,1787415687101361086,H5,O1,tiny_04_arr,96795450,10000,9679.545,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-000,4,1,2026-08-22T16:21:27.195956+00:00,1787415687195977507,H5,O1,tiny_04_arr,94551282,10000,9455.1282,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-000,5,1,2026-08-22T16:21:27.292124+00:00,1787415687292144673,H4,O1,tiny_04_arr,96020878,10000,9602.0878,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-000,6,1,2026-08-22T16:21:27.293616+00:00,1787415687293630600,C,O2,tiny_04_arr,1433658,10000,143.3658,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-001,7,2,2026-08-22T16:21:27.388099+00:00,1787415687388117633,H4,O1,tiny_04_arr,94424904,10000,9442.4904,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-001,8,2,2026-08-22T16:21:27.482595+00:00,1787415687482613185,H5,O1,tiny_04_arr,94438963,10000,9443.8963,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-001,9,3,2026-08-22T16:21:27.580033+00:00,1787415687580051581,H5,O1,tiny_04_arr,97381417,10000,9738.1417,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-001,10,3,2026-08-22T16:21:27.674214+00:00,1787415687674267928,H4,O1,tiny_04_arr,94121349,10000,9412.1349,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-001,11,2,2026-08-22T16:21:27.675698+00:00,1787415687675711446,C,O2,tiny_04_arr,1392578,10000,139.2578,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-001,12,3,2026-08-22T16:21:27.676974+00:00,1787415687677013176,C,O2,tiny_04_arr,1231011,10000,123.1011,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-002,13,4,2026-08-22T16:21:27.771670+00:00,1787415687771687795,H5,O1,tiny_04_arr,94610671,10000,9461.0671,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-002,14,5,2026-08-22T16:21:27.866318+00:00,1787415687866335085,H5,O1,tiny_04_arr,94591320,10000,9459.132,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-002,15,4,2026-08-22T16:21:27.960309+00:00,1787415687960326875,H4,O1,tiny_04_arr,93936211,10000,9393.6211,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-002,16,4,2026-08-22T16:21:27.961781+00:00,1787415687961794522,C,O2,tiny_04_arr,1416408,10000,141.6408,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-002,17,5,2026-08-22T16:21:27.963106+00:00,1787415687963119582,C,O2,tiny_04_arr,1279910,10000,127.991,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-002,18,5,2026-08-22T16:21:28.060015+00:00,1787415688060033597,H4,O1,tiny_04_arr,96856725,10000,9685.6725,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,19,6,2026-08-22T16:21:28.157408+00:00,1787415688157426904,H5,O1,tiny_04_arr,97329759,10000,9732.9759,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,20,6,2026-08-22T16:21:28.253572+00:00,1787415688253591771,H4,O1,tiny_04_arr,96102368,10000,9610.2368,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,21,6,2026-08-22T16:21:28.255026+00:00,1787415688255039558,C,O2,tiny_04_arr,1396888,10000,139.6888,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-003,22,7,2026-08-22T16:21:28.256409+00:00,1787415688256421007,C,O2,tiny_04_arr,1336830,10000,133.683,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-003,23,7,2026-08-22T16:21:28.354078+00:00,1787415688354098180,H4,O1,tiny_04_arr,97617574,10000,9761.7574,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,24,7,2026-08-22T16:21:28.454309+00:00,1787415688454329593,H5,O1,tiny_04_arr,100165794,10000,10016.5794,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,25,8,2026-08-22T16:21:28.548798+00:00,1787415688548815036,H4,O1,tiny_04_arr,94341436,10000,9434.1436,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,26,8,2026-08-22T16:21:28.550465+00:00,1787415688550478600,C,O2,tiny_04_arr,1612245,10000,161.2245,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-004,27,9,2026-08-22T16:21:28.551812+00:00,1787415688551824509,C,O2,tiny_04_arr,1300879,10000,130.0879,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-004,28,9,2026-08-22T16:21:28.647886+00:00,1787415688647903817,H4,O1,tiny_04_arr,96023119,10000,9602.3119,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,29,8,2026-08-22T16:21:28.743660+00:00,1787415688743677860,H5,O1,tiny_04_arr,95716554,10000,9571.6554,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,30,9,2026-08-22T16:21:28.838162+00:00,1787415688838179812,H5,O1,tiny_04_arr,94445743,10000,9444.5743,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-005,31,10,2026-08-22T16:21:28.839749+00:00,1787415688839763507,C,O2,tiny_04_arr,1525886,10000,152.5886,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-005,32,11,2026-08-22T16:21:28.841260+00:00,1787415688841274024,C,O2,tiny_04_arr,1463558,10000,146.3558,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-005,33,10,2026-08-22T16:21:28.937023+00:00,1787415688937041767,H4,O1,tiny_04_arr,95710264,10000,9571.0264,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-005,34,10,2026-08-22T16:21:29.035963+00:00,1787415689035980931,H5,O1,tiny_04_arr,98882424,10000,9888.2424,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-005,35,11,2026-08-22T16:21:29.133041+00:00,1787415689133058713,H5,O1,tiny_04_arr,97022033,10000,9702.2033,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-005,36,11,2026-08-22T16:21:29.227765+00:00,1787415689227782922,H4,O1,tiny_04_arr,94665680,10000,9466.568,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-006,37,12,2026-08-22T16:21:29.229480+00:00,1787415689229495796,C,O2,tiny_04_arr,1648685,10000,164.8685,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-006,38,12,2026-08-22T16:21:29.331085+00:00,1787415689331104758,H4,O1,tiny_04_arr,101543923,10000,10154.3923,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-006,39,12,2026-08-22T16:21:29.427656+00:00,1787415689427674238,H5,O1,tiny_04_arr,96512911,10000,9651.2911,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-006,40,13,2026-08-22T16:21:29.527803+00:00,1787415689527820223,H5,O1,tiny_04_arr,100086206,10000,10008.6206,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-006,41,13,2026-08-22T16:21:29.627082+00:00,1787415689627101376,H4,O1,tiny_04_arr,99220724,10000,9922.0724,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-006,42,13,2026-08-22T16:21:29.628818+00:00,1787415689628830219,C,O2,tiny_04_arr,1679323,10000,167.9323,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-007,43,14,2026-08-22T16:21:29.729193+00:00,1787415689729212795,H4,O1,tiny_04_arr,100318617,10000,10031.8617,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-007,44,14,2026-08-22T16:21:29.834335+00:00,1787415689834354462,H5,O1,tiny_04_arr,105037638,10000,10503.7638,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-007,45,15,2026-08-22T16:21:29.929881+00:00,1787415689929899518,H5,O1,tiny_04_arr,95486736,10000,9548.6736,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-007,46,15,2026-08-22T16:21:30.024362+00:00,1787415690024379821,H4,O1,tiny_04_arr,94424113,10000,9442.4113,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-007,47,14,2026-08-22T16:21:30.025825+00:00,1787415690025837378,C,O2,tiny_04_arr,1409008,10000,140.9008,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-007,48,15,2026-08-22T16:21:30.027147+00:00,1787415690027160377,C,O2,tiny_04_arr,1269340,10000,126.934,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-008,49,16,2026-08-22T16:21:30.124067+00:00,1787415690124085303,H5,O1,tiny_04_arr,96863056,10000,9686.3056,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-008,50,17,2026-08-22T16:21:30.219909+00:00,1787415690219926785,H5,O1,tiny_04_arr,95785023,10000,9578.5023,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-008,51,16,2026-08-22T16:21:30.314939+00:00,1787415690314956399,H4,O1,tiny_04_arr,94973854,10000,9497.3854,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-008,52,16,2026-08-22T16:21:30.316573+00:00,1787415690316587263,C,O2,tiny_04_arr,1578776,10000,157.8776,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-008,53,17,2026-08-22T16:21:30.317940+00:00,1787415690317954732,C,O2,tiny_04_arr,1318480,10000,131.848,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-008,54,17,2026-08-22T16:21:30.411730+00:00,1787415690411748826,H4,O1,tiny_04_arr,93734105,10000,9373.4105,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-009,55,18,2026-08-22T16:21:30.507296+00:00,1787415690507315133,H5,O1,tiny_04_arr,95501237,10000,9550.1237,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-009,56,18,2026-08-22T16:21:30.603989+00:00,1787415690604006628,H4,O1,tiny_04_arr,96634836,10000,9663.4836,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-009,57,18,2026-08-22T16:21:30.605990+00:00,1787415690606008446,C,O2,tiny_04_arr,1937810,10000,193.781,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-009,58,19,2026-08-22T16:21:30.607826+00:00,1787415690607850448,C,O2,tiny_04_arr,1754623,10000,175.4623,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-009,59,19,2026-08-22T16:21:30.704120+00:00,1787415690704138216,H4,O1,tiny_04_arr,96223090,10000,9622.309,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-009,60,19,2026-08-22T16:21:30.799567+00:00,1787415690799584634,H5,O1,tiny_04_arr,95389099,10000,9538.9099,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-010,61,20,2026-08-22T16:21:30.898565+00:00,1787415690898583247,H4,O1,tiny_04_arr,98934264,10000,9893.4264,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-010,62,20,2026-08-22T16:21:30.900130+00:00,1787415690900143543,C,O2,tiny_04_arr,1511306,10000,151.1306,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-010,63,21,2026-08-22T16:21:30.901396+00:00,1787415690901409103,C,O2,tiny_04_arr,1220921,10000,122.0921,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-010,64,21,2026-08-22T16:21:30.995493+00:00,1787415690995510861,H4,O1,tiny_04_arr,94045559,10000,9404.5559,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-010,65,20,2026-08-22T16:21:31.090036+00:00,1787415691090056262,H5,O1,tiny_04_arr,94482642,10000,9448.2642,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-010,66,21,2026-08-22T16:21:31.189623+00:00,1787415691189641735,H5,O1,tiny_04_arr,99525464,10000,9952.5464,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-011,67,22,2026-08-22T16:21:31.191073+00:00,1787415691191085443,C,O2,tiny_04_arr,1388968,10000,138.8968,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-011,68,23,2026-08-22T16:21:31.192618+00:00,1787415691192631729,C,O2,tiny_04_arr,1490297,10000,149.0297,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-011,69,22,2026-08-22T16:21:31.292642+00:00,1787415691292659595,H4,O1,tiny_04_arr,99972077,10000,9997.2077,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-011,70,22,2026-08-22T16:21:31.387098+00:00,1787415691387116998,H5,O1,tiny_04_arr,94399934,10000,9439.9934,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-011,71,23,2026-08-22T16:21:31.487154+00:00,1787415691487173135,H5,O1,tiny_04_arr,99949408,10000,9994.9408,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-011,72,23,2026-08-22T16:21:31.581207+00:00,1787415691581226304,H4,O1,tiny_04_arr,93955590,10000,9395.559,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-012,73,24,2026-08-22T16:21:31.582653+00:00,1787415691582666712,C,O2,tiny_04_arr,1382378,10000,138.2378,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-012,74,24,2026-08-22T16:21:31.679997+00:00,1787415691680020160,H4,O1,tiny_04_arr,97292859,10000,9729.2859,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-012,75,24,2026-08-22T16:21:31.775674+00:00,1787415691775692054,H5,O1,tiny_04_arr,95590026,10000,9559.0026,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-012,76,25,2026-08-22T16:21:31.872634+00:00,1787415691872652879,H5,O1,tiny_04_arr,96903875,10000,9690.3875,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-012,77,25,2026-08-22T16:21:31.970852+00:00,1787415691970870863,H4,O1,tiny_04_arr,98160006,10000,9816.0006,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-012,78,25,2026-08-22T16:21:31.972384+00:00,1787415691972398649,C,O2,tiny_04_arr,1469087,10000,146.9087,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-013,79,26,2026-08-22T16:21:32.066081+00:00,1787415692066098915,H4,O1,tiny_04_arr,93639536,10000,9363.9536,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-013,80,26,2026-08-22T16:21:32.160477+00:00,1787415692160500659,H5,O1,tiny_04_arr,94339476,10000,9433.9476,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-013,81,27,2026-08-22T16:21:32.257562+00:00,1787415692257580162,H5,O1,tiny_04_arr,97021214,10000,9702.1214,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-013,82,27,2026-08-22T16:21:32.354265+00:00,1787415692354281830,H4,O1,tiny_04_arr,96646189,10000,9664.6189,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-013,83,26,2026-08-22T16:21:32.355749+00:00,1787415692355763887,C,O2,tiny_04_arr,1431668,10000,143.1668,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-013,84,27,2026-08-22T16:21:32.357065+00:00,1787415692357078067,C,O2,tiny_04_arr,1265770,10000,126.577,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-014,85,28,2026-08-22T16:21:32.459643+00:00,1787415692459661004,H5,O1,tiny_04_arr,102520738,10000,10252.0738,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-014,86,29,2026-08-22T16:21:32.556607+00:00,1787415692556626195,H5,O1,tiny_04_arr,96904672,10000,9690.4672,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-014,87,28,2026-08-22T16:21:32.652571+00:00,1787415692652588459,H4,O1,tiny_04_arr,95905984,10000,9590.5984,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-014,88,28,2026-08-22T16:21:32.654161+00:00,1787415692654176604,C,O2,tiny_04_arr,1526736,10000,152.6736,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-014,89,29,2026-08-22T16:21:32.655615+00:00,1787415692655629702,C,O2,tiny_04_arr,1403278,10000,140.3278,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-014,90,29,2026-08-22T16:21:32.750901+00:00,1787415692750919112,H4,O1,tiny_04_arr,95232671,10000,9523.2671,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-000,91,0,2026-08-22T16:21:34.197277+00:00,1787415694197291262,C,O2,tiny_03_pair,1367649,10000,136.7649,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-000,92,0,2026-08-22T16:21:34.267426+00:00,1787415694267444963,H4,O1,tiny_03_pair,70096562,10000,7009.6562,taskset -c 0,candidate
